TouchButtons,LeftIndexTrigger,RightIndexTrigger,LeftHandTrigger,RightHandTrigger,LeftTouchPosX,LeftTouchPosY,LeftTouchPosZ,LeftTouchOrientationW,LeftTouchOrientationX,LeftTouchOrientationY,LeftTouchOrientationZ,RightTouchPosX,RightTouchPosY,RightTouchPosZ,RightTouchOrientationW,RightTouchOrientationX,RightTouchOrientationY,RightTouchOrientationZ,HeadPosX,HeadPosY,HeadPosZ,HeadOrientationW,HeadOrientationX,HeadOrientationY,HeadOrientationZ,time
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595478,-0.732691,0.0629245,0.323435,0.0516882,0.022581,0.22003,0.997151,-0.0745753,-0.00635856,0.00941263,0.0169733
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595405,-0.73257,0.0631117,0.323809,0.0516737,0.0225431,0.220074,0.997149,-0.0745927,-0.00662733,0.00931883,0.0335265
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595344,-0.732396,0.0632953,0.324275,0.0516928,0.0224884,0.220099,0.997142,-0.074651,-0.0069585,0.00929962,0.0497919
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595305,-0.732273,0.0634101,0.324605,0.0517401,0.0224196,0.220094,0.997138,-0.0746781,-0.00724213,0.00935335,0.0669453
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595231,-0.732157,0.0635207,0.32498,0.0517635,0.0223742,0.220106,0.997136,-0.0746632,-0.00748908,0.00944772,0.08321
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595132,-0.732053,0.0636748,0.325365,0.0517716,0.0223412,0.220129,0.997134,-0.0746554,-0.00771253,0.00957953,0.0999054
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.59506,-0.731877,0.0639128,0.325844,0.0517744,0.0223073,0.220147,0.997132,-0.0746548,-0.00783636,0.00962642,0.116438
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.595018,-0.731619,0.0641961,0.326444,0.0517716,0.022291,0.220126,0.99713,-0.074692,-0.00788374,0.00954618,0.133437
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.59491,-0.731371,0.0644817,0.32714,0.051773,0.0222965,0.22007,0.997128,-0.0747361,-0.00782221,0.00941379,0.149718
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594721,-0.731184,0.0647567,0.327848,0.0517669,0.022298,0.220057,0.997129,-0.0747523,-0.00767081,0.00931758,0.166517
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594549,-0.73099,0.0650453,0.328533,0.051757,0.0222916,0.220075,0.997134,-0.0747072,-0.00751476,0.00925078,0.183259
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594423,-0.730768,0.0653155,0.329201,0.0517482,0.0222833,0.2201,0.997138,-0.074693,-0.00735179,0.00914575,0.19999
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594355,-0.730562,0.0655465,0.329735,0.0517483,0.022275,0.220068,0.997139,-0.0747136,-0.00720221,0.00898646,0.216484
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.59432,-0.730327,0.0657677,0.330274,0.0517533,0.0222634,0.220025,0.997139,-0.0747461,-0.00704023,0.00884934,0.233193
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.59426,-0.730145,0.0659906,0.330739,0.0517562,0.0222408,0.220066,0.997142,-0.0747254,-0.00686305,0.00882065,0.249743
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594148,-0.730084,0.0662025,0.331034,0.0517619,0.0222224,0.220134,0.997147,-0.0746558,-0.00673268,0.00887667,0.26659
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594074,-0.730029,0.0663755,0.331251,0.0517839,0.0222142,0.220218,0.997151,-0.0746038,-0.00666858,0.00893342,0.283059
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.594,-0.729981,0.0665182,0.331462,0.0518124,0.0222394,0.220242,0.997161,-0.0744563,-0.00672787,0.00894866,0.299821
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.593926,-0.729907,0.0666521,0.331729,0.0518589,0.0222868,0.220276,0.997169,-0.0743294,-0.0069119,0.00897937,0.316399
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.593881,-0.729764,0.0668371,0.33209,0.0519452,0.0223302,0.220402,0.997172,-0.074265,-0.00716888,0.00898579,0.333242
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.593825,-0.729633,0.0670343,0.332436,0.0520158,0.0223537,0.22051,0.997178,-0.0741714,-0.00737189,0.00895974,0.349696
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.593839,-0.729455,0.0672468,0.332759,0.0521112,0.0223633,0.220611,0.997186,-0.0740426,-0.00757014,0.00893045,0.366714
0,0,0,0,0,0.353173,-0.356713,-0.395136,0.0131721,-0.233489,0.416399,0.87859,0.272239,-0.789348,0.172139,0.593873,-0.729234,0.0674715,0.333138,0.0522557,0.02233,0.220678,0.997188,-0.0740144,-0.00770125,0.00884885,0.383048
